employee_id,survey_date,department,tenure_years,performance_rating,engagement_score,feedback_comment
E001,2019-01-01,Operations,0.9,4.0,25,The flexible hours have really helped me maintain a healthy work‑life balance.
E002,2019-01-01,Sales,0.69,4.0,25,"I appreciate the clear path for promotion, though the timeline feels a bit vague."
E003,2019-01-01,Engineering,0.5,1.0,25,Management's open-door policy makes it easy to raise concerns.
E004,2019-01-01,HR,0.85,3.0,25,The recent salary adjustments were modest but show the company is listening.
E005,2019-01-01,Engineering,0.63,1.0,25,"Team events foster a positive culture, but occasional after‑hours gatherings feel mandatory."
E006,2019-01-01,Engineering,0.76,4.0,25,Workload spikes during quarter‑end are stressful and affect my personal time.
E007,2019-01-01,Engineering,1.0,1.0,25,I feel my skills are developing through the new mentorship program.
E008,2019-01-01,Marketing,0.46,4.0,25,"Communication from leadership is transparent, yet sometimes overly detailed."
E009,2019-01-01,Sales,0.74,2.0,25,"The office environment is inclusive, though the layout could be more collaborative."
E010,2019-01-01,HR,0.34,5.0,25,"Bonus payouts were lower than expected, which is disappointing."
E011,2019-01-01,Operations,0.87,3.0,25,Remote work options have improved my overall satisfaction.
E012,2019-01-01,Operations,0.83,2.0,25,"Career advancement opportunities exist, but the criteria are not well defined."
E013,2019-01-01,Finance,0.57,3.0,25,Managers provide constructive feedback regularly.
E014,2019-01-01,Operations,0.43,3.0,25,"The company’s values align with my own, creating a strong sense of belonging."
E015,2019-01-01,Marketing,0.75,2.0,25,"Compensation packages are competitive, but benefits could be expanded."
E016,2019-01-01,Sales,0.88,4.0,25,Frequent meetings interrupt deep work and reduce productivity.
E017,2019-01-01,HR,0.67,5.0,25,"Training resources are abundant, helping me grow professionally."
E018,2019-01-01,Sales,0.38,2.0,25,"Leadership recognizes achievements publicly, boosting morale."
E019,2019-01-01,Finance,0.65,1.0,25,The pay raise this year was minimal compared to market rates.
E020,2019-01-01,Marketing,0.38,2.0,25,"Work‑life balance is supported by generous PTO, yet holiday coverage is stressful."
E021,2019-01-01,Engineering,0.78,3.0,25,The recent shift to flexible hours has greatly improved my work-life balance.
E022,2019-01-01,Operations,0.67,1.0,25,"I feel my workload has increased, making it hard to keep personal time."
E023,2019-01-01,Operations,0.88,4.0,25,"The new project management tool has streamlined tasks, but I'm still overwhelmed."
E024,2019-01-01,Operations,0.97,5.0,25,I appreciate the quarterly career development sessions; they help me plan my path.
E025,2019-01-01,Finance,0.92,4.0,25,There aren't many opportunities to take on challenging assignments.
E026,2019-01-01,HR,0.59,2.0,25,"The mentorship program is a great idea, but enrollment is limited."
E027,2019-01-01,Operations,0.46,4.0,25,Management's recent decision to cut budgets feels abrupt and unclear.
E028,2019-01-01,Sales,0.66,4.0,25,I appreciate the transparent communication from leadership during the transition.
E029,2019-01-01,Sales,0.4,2.0,25,Sometimes feedback from supervisors feels vague and not actionable.
E030,2019-01-01,Finance,0.38,2.0,25,The team culture encourages collaboration and creative problem solving.
E031,2019-01-01,Sales,0.49,1.0,25,"The office environment can feel too noisy, impacting focus."
E032,2019-01-01,Operations,0.79,2.0,25,I feel the company doesn't celebrate achievements enough.
E033,2019-01-01,Finance,0.38,3.0,25,"My salary aligns with my responsibilities, and I feel fairly compensated."
E034,2019-01-01,Engineering,0.57,2.0,25,The recent pay raise was minimal compared to the increased workload.
E035,2019-01-01,Engineering,0.95,1.0,25,"Bonus structure is clear, but the target metrics are hard to meet."
E036,2019-01-01,Finance,0.67,2.0,25,I enjoy the flexible benefits plan; it caters to diverse employee needs.
E037,2019-01-01,Finance,0.92,4.0,25,The lack of remote work options is affecting my work-life balance.
E038,2019-01-01,Sales,0.56,4.0,25,The onboarding process was thorough and helped me settle quickly.
E039,2019-01-01,Sales,0.88,3.0,25,Career progression paths are not well communicated to staff.
E040,2019-01-01,HR,0.4,4.0,25,I appreciate the occasional team lunches; they boost morale.
E041,2019-01-01,Sales,0.4,4.0,25,Workload has increased recently affecting work life balance.
E042,2019-01-01,Sales,0.49,4.0,25,The company has provided me with great opportunities for career growth and development.
E043,2019-01-01,Sales,0.95,4.0,25,Management has been very supportive and open to feedback and suggestions.
E044,2019-01-01,Finance,0.93,5.0,25,"I love the culture here, it's very collaborative and inclusive."
E045,2019-01-01,Finance,0.76,2.0,25,The compensation package is not competitive compared to other companies in the industry.
E046,2019-01-01,Marketing,0.44,3.0,25,"I appreciate the flexibility in working hours, it helps me balance work and personal life."
E047,2019-01-01,Sales,0.58,2.0,25,There are limited opportunities for advancement in my current role.
E048,2019-01-01,HR,0.75,5.0,25,The team leads are approachable and willing to help with any issues or concerns.
E049,2019-01-01,Marketing,0.94,2.0,25,The company culture is very strong and everyone is passionate about their work.
E050,2019-01-01,Finance,0.74,1.0,25,I feel underpaid considering my experience and qualifications.
E051,2019-01-01,Sales,0.86,4.0,25,"The work-life balance is great, I can easily manage my personal and professional life."
E052,2019-01-01,Sales,0.98,4.0,25,Career growth opportunities are limited and it's hard to move up the career ladder.
E053,2019-01-01,Finance,0.78,2.0,25,The management style is very autocratic and does not encourage feedback or dissent.
