employee_id,survey_date,department,tenure_years,performance_rating,engagement_score,feedback_comment,feedback_category,sentiment,summary
E001,01-01-2019,Operations,0.9,4,25,The flexible hours have really helped me maintain a healthy work‑life balance.,Work-life balance,Positive,Flexible hours improve work-life balance
E002,01-01-2019,Sales,0.69,4,25,"I appreciate the clear path for promotion, though the timeline feels a bit vague.",Career growth,Neutral,Clear promotion path but timeline vague
E003,01-01-2019,Engineering,0.5,1,25,Management's open-door policy makes it easy to raise concerns.,Management,Positive,Open-door policy facilitates raising concerns
E004,01-01-2019,HR,0.85,3,25,The recent salary adjustments were modest but show the company is listening.,Compensation,Positive,Modest salary adjustments indicate company listening
E005,01-01-2019,Engineering,0.63,1,25,"Team events foster a positive culture, but occasional after‑hours gatherings feel mandatory.",Culture,Neutral,Team events positive; after-hours gatherings feel mandatory
E006,01-01-2019,Engineering,0.76,4,25,Workload spikes during quarter‑end are stressful and affect my personal time.,Work-life balance,Negative,Quarter-end workload spikes stress personal time
E007,01-01-2019,Engineering,1,1,25,I feel my skills are developing through the new mentorship program.,Career growth,Positive,Mentorship program helps develop my skills
E008,01-01-2019,Marketing,0.46,4,25,"Communication from leadership is transparent, yet sometimes overly detailed.",Management,Neutral,Transparent leadership communication sometimes overly detailed
E009,01-01-2019,Sales,0.74,2,25,"The office environment is inclusive, though the layout could be more collaborative.",Culture,Neutral,Inclusive office environment; layout needs collaboration
E010,01-01-2019,HR,0.34,5,25,"Bonus payouts were lower than expected, which is disappointing.",Compensation,Negative,"Bonus payouts lower than expected, disappointing"
E011,01-01-2019,Operations,0.87,3,25,Remote work options have improved my overall satisfaction.,Work-life balance,Positive,Remote work improves overall satisfaction.
E012,01-01-2019,Operations,0.83,2,25,"Career advancement opportunities exist, but the criteria are not well defined.",Career growth,Neutral,Opportunities exist but criteria unclear.
E013,01-01-2019,Finance,0.57,3,25,Managers provide constructive feedback regularly.,Management,Positive,Managers give regular constructive feedback.
E014,01-01-2019,Operations,0.43,3,25,"The company’s values align with my own, creating a strong sense of belonging.",Culture,Positive,"Values align, fostering strong sense belonging."
E015,01-01-2019,Marketing,0.75,2,25,"Compensation packages are competitive, but benefits could be expanded.",Compensation,Neutral,"Competitive pay, but benefits need expansion."
E016,01-01-2019,Sales,0.88,4,25,Frequent meetings interrupt deep work and reduce productivity.,Management,Negative,Frequent meetings disrupt deep work productivity.
E017,01-01-2019,HR,0.67,5,25,"Training resources are abundant, helping me grow professionally.",Career growth,Positive,Abundant training resources aid professional growth.
E018,01-01-2019,Sales,0.38,2,25,"Leadership recognizes achievements publicly, boosting morale.",Management,Positive,Public recognition of achievements boosts morale.
E019,01-01-2019,Finance,0.65,1,25,The pay raise this year was minimal compared to market rates.,Compensation,Negative,Pay raise minimal versus market rates.
E020,01-01-2019,Marketing,0.38,2,25,"Work‑life balance is supported by generous PTO, yet holiday coverage is stressful.",Work-life balance,Neutral,"Generous PTO supports balance, coverage stressful."
E021,01-01-2019,Engineering,0.78,3,25,The recent shift to flexible hours has greatly improved my work-life balance.,Work-life balance,Positive,Flexible hours improved work-life balance.
E022,01-01-2019,Operations,0.67,1,25,"I feel my workload has increased, making it hard to keep personal time.",Work-life balance,Negative,Increased workload reduces personal time.
E023,01-01-2019,Operations,0.88,4,25,"The new project management tool has streamlined tasks, but I'm still overwhelmed.",Management,Negative,Tool streamlines tasks but feels overwhelming.
E024,01-01-2019,Operations,0.97,5,25,I appreciate the quarterly career development sessions; they help me plan my path.,Career growth,Positive,Quarterly sessions aid career planning.
E025,01-01-2019,Finance,0.92,4,25,There aren't many opportunities to take on challenging assignments.,Career growth,Negative,Lack of challenging assignment opportunities.
E026,01-01-2019,HR,0.59,2,25,"The mentorship program is a great idea, but enrollment is limited.",Career growth,Neutral,"Mentorship good idea, enrollment limited."
E027,01-01-2019,Operations,0.46,4,25,Management's recent decision to cut budgets feels abrupt and unclear.,Management,Negative,Budget cuts abrupt and unclear.
E028,01-01-2019,Sales,0.66,4,25,I appreciate the transparent communication from leadership during the transition.,Management,Positive,Transparent leadership communication appreciated during transition.
E029,01-01-2019,Sales,0.4,2,25,Sometimes feedback from supervisors feels vague and not actionable.,Management,Negative,Supervisor feedback vague and unhelpful.
E030,01-01-2019,Finance,0.38,2,25,The team culture encourages collaboration and creative problem solving.,Culture,Positive,Culture encourages collaboration and creativity.
E031,01-01-2019,Sales,0.49,1,25,"The office environment can feel too noisy, impacting focus.",Culture,Negative,Office noise disrupts focus and productivity.
E032,01-01-2019,Operations,0.79,2,25,I feel the company doesn't celebrate achievements enough.,Culture,Negative,Lack of celebration for employee achievements.
E033,01-01-2019,Finance,0.38,3,25,"My salary aligns with my responsibilities, and I feel fairly compensated.",Compensation,Positive,Salary matches responsibilities; feels fairly compensated.
E034,01-01-2019,Engineering,0.57,2,25,The recent pay raise was minimal compared to the increased workload.,Compensation,Negative,Pay raise insufficient relative to higher workload.
E035,01-01-2019,Engineering,0.95,1,25,"Bonus structure is clear, but the target metrics are hard to meet.",Compensation,Negative,Bonus clear but targets are difficult to achieve.
E036,01-01-2019,Finance,0.67,2,25,I enjoy the flexible benefits plan; it caters to diverse employee needs.,Compensation,Positive,Flexible benefits plan meets diverse employee needs.
E037,01-01-2019,Finance,0.92,4,25,The lack of remote work options is affecting my work-life balance.,Work-life balance,Negative,No remote work harms work-life balance.
E038,01-01-2019,Sales,0.56,4,25,The onboarding process was thorough and helped me settle quickly.,Culture,Positive,Thorough onboarding helped me settle quickly.
E039,01-01-2019,Sales,0.88,3,25,Career progression paths are not well communicated to staff.,Career growth,Negative,Career paths lack clear communication to staff.
E040,01-01-2019,HR,0.4,4,25,I appreciate the occasional team lunches; they boost morale.,Culture,Positive,Team lunches appreciated; they boost morale.
E041,01-01-2019,Sales,0.4,4,25,Workload has increased recently affecting work life balance.,Work-life balance,Negative,Increased workload hurting work-life balance.
E042,01-01-2019,Sales,0.49,4,25,The company has provided me with great opportunities for career growth and development.,Career growth,Positive,Great opportunities for career growth and development.
E043,01-01-2019,Sales,0.95,4,25,Management has been very supportive and open to feedback and suggestions.,Management,Positive,Management supportive and open to feedback.
E044,01-01-2019,Finance,0.93,5,25,"I love the culture here, it's very collaborative and inclusive.",Culture,Positive,"Culture is collaborative and inclusive, loved."
E045,01-01-2019,Finance,0.76,2,25,The compensation package is not competitive compared to other companies in the industry.,Compensation,Negative,Compensation package not competitive industry-wide.
E046,01-01-2019,Marketing,0.44,3,25,"I appreciate the flexibility in working hours, it helps me balance work and personal life.",Work-life balance,Positive,Flexible hours help balance work and life.
E047,01-01-2019,Sales,0.58,2,25,There are limited opportunities for advancement in my current role.,Career growth,Negative,Limited advancement opportunities in current role.
E048,01-01-2019,HR,0.75,5,25,The team leads are approachable and willing to help with any issues or concerns.,Management,Positive,Team leads approachable and helpful with issues.
E049,01-01-2019,Marketing,0.94,2,25,The company culture is very strong and everyone is passionate about their work.,Culture,Positive,"Strong culture, everyone passionate about work."
E050,01-01-2019,Finance,0.74,1,25,I feel underpaid considering my experience and qualifications.,Compensation,Negative,Feeling underpaid given experience and qualifications.
E051,01-01-2019,Sales,0.86,4,25,"The work-life balance is great, I can easily manage my personal and professional life.",Work-life balance,Positive,"Great work-life balance, easily manage personal life."
E052,01-01-2019,Sales,0.98,4,25,Career growth opportunities are limited and it's hard to move up the career ladder.,Career growth,Negative,"Limited career growth opportunities, hard to advance."
E053,01-01-2019,Finance,0.78,2,25,The management style is very autocratic and does not encourage feedback or dissent.,Management,Negative,"Autocratic management style, discourages feedback and dissent."
E054,01-01-2019,Marketing,0.96,3,25,"I enjoy the social events and team-building activities, they help to create a sense of community.",Culture,Positive,"Enjoy social events and team-building, fostering community."
E055,01-01-2019,HR,0.62,2,25,"The salary increase was not as expected, it was lower than industry standards.",Compensation,Negative,"Salary increase below expectations, lower than industry standards."
E056,01-01-2019,Finance,0.89,4,25,I have learned a lot from my colleagues and the company provides great training and development programs.,Career growth,Positive,Learned from colleagues; great training and development programs.
E057,01-01-2019,Sales,0.68,2,25,"The company culture is not very diverse and inclusive, it needs to improve.",Culture,Negative,"Company culture lacks diversity and inclusion, needs improvement."
E058,01-01-2019,HR,0.68,3,25,"The compensation and benefits are great, but the work can be stressful at times.",Compensation,Positive,Compensation and benefits are great despite occasional stress.
E059,01-01-2019,Engineering,0.34,3,25,I feel that my ideas and suggestions are not being heard or considered by management.,Management,Negative,"Ideas ignored by management, not considered."
E060,01-01-2019,Sales,0.46,4,25,The company provides a great work environment and resources to help employees succeed.,Culture,Positive,Great work environment with resources supporting employee success.
E061,01-01-2019,Operations,0.92,4,25,The flexible remote schedule has greatly improved my work-life balance.,Work-life balance,Positive,Flexible remote schedule improves work-life balance
E062,01-01-2019,Operations,0.91,3,25,"Opportunities for skill development feel limited, making career growth uncertain.",Career growth,Negative,Limited skill development creates uncertain career growth
E063,01-01-2019,HR,0.8,3,25,"Management consistently communicates clear goals, which keeps the team aligned.",Management,Positive,"Management communicates clear goals, keeping team aligned"
E064,01-01-2019,Operations,0.53,2,25,"The office culture is inclusive, but occasional cliques still emerge.",Culture,Neutral,Inclusive office culture with occasional emerging cliques
E065,01-01-2019,Engineering,0.5,2,25,Recent salary adjustments haven't kept pace with market rates.,Compensation,Negative,Salary adjustments lag behind current market rates
E066,01-01-2019,Engineering,0.59,3,25,I appreciate the generous vacation policy that supports personal time.,Work-life balance,Positive,Generous vacation policy supports personal time
E067,01-01-2019,Sales,0.86,5,25,"Career progression paths are vague, leaving many employees unsure about the future.",Career growth,Negative,Vague career progression leaves employees uncertain about future
E068,01-01-2019,Marketing,0.94,4,25,"Leadership is approachable and open to feedback, fostering a supportive environment.",Management,Positive,Approachable leadership open to feedback fosters support
E069,01-01-2019,Sales,0.37,4,25,There is a noticeable lack of recognition for overtime work.,Culture,Negative,Overtime work lacks noticeable recognition
E070,01-01-2019,HR,0.41,5,25,The company's wellness programs have positively impacted my daily routine.,Work-life balance,Positive,Wellness programs positively impact daily routine
E071,01-01-2019,Marketing,0.95,2,25,Training resources are available but not always relevant to current projects.,Career growth,Neutral,Training resources exist but often lack relevance
E072,01-01-2019,HR,0.74,3,25,Managers provide constructive feedback that helps me improve my performance.,Management,Positive,Constructive manager feedback improves performance
E073,01-01-2019,Sales,0.58,4,25,"Team outings are fun, yet they sometimes interfere with project deadlines.",Culture,Neutral,Fun outings occasionally disrupt project deadlines
E074,01-01-2019,Marketing,0.75,4,25,Compensation packages could be more transparent regarding bonus calculations.,Compensation,Negative,Compensation lacks transparency in bonus calculations
E075,01-01-2019,Engineering,0.62,4,25,The balance between meetings and focused work time feels just right.,Work-life balance,Positive,Meeting and focus time balance feels ideal
E076,01-01-2019,Operations,0.37,4,25,I feel stuck in my current role with minimal chances for advancement.,Career growth,Negative,Feeling stuck with limited advancement opportunities
E077,01-01-2019,Finance,0.68,3,25,Senior leadership demonstrates a genuine commitment to employee well-being.,Management,Positive,Leadership shows genuine commitment to employee well-being
E078,01-01-2019,Sales,0.33,2,25,"The office environment is noisy, which hampers concentration.",Culture,Negative,Noisy office environment hampers concentration
E079,01-01-2019,Sales,0.75,5,25,Performance reviews are fair and highlight both strengths and areas for growth.,Management,Positive,Performance reviews are fair and comprehensive
E080,01-01-2019,HR,0.53,3,25,There is a need for clearer communication about company-wide strategic changes.,Management,Negative,Communication about strategic changes needs clarity
E081,01-01-2019,Finance,0.48,4,25,The flexible hours policy really helps me maintain a healthy work-life balance.,Work-life balance,Positive,Flexible hours improve work-life balance.
